name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746218023802458425,3.6,OPEN,FALSE,81,7.8,0,0,125000,1,1884,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-102,-118,2025-05-02T20:33:43.512Z,7,9.2,-0.8
s31lb,1746219223604661639,3.6,OPEN,FALSE,82.5,7.4,0,0,125000,2,1885,0,eui-00007076ff031358,eui-00007076ff031372,0,0,0,0,-119,-101,2025-05-02T20:53:43.311Z,7,-7,7.5
s31lb,1746220423407714363,3.6,OPEN,FALSE,83.4,7.1,0,0,125000,7,1886,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-100,-120,2025-05-02T21:13:43.109Z,7,7.8,-4.5
s31lb,1746221623204003961,3.6,OPEN,FALSE,83.3,7.1,0,0,125000,0,1887,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-119,-104,2025-05-02T21:33:42.907Z,7,-3.5,8.5
s31lb,1746222823008001313,3.6,OPEN,FALSE,85.1,6.6,0,0,125000,6,1888,0,eui-00007076ff032b3f,eui-00007076ff031372,0,0,0,0,-120,-99,2025-05-02T21:53:42.706Z,7,-8.2,9
s31lb,1746224022799058696,3.6,OPEN,FALSE,85.5,6.5,0,0,125000,7,1889,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-101,2025-05-02T22:13:42.505Z,7,-4.8,7.5
s31lb,1746225222592047955,3.6,OPEN,FALSE,86.7,6.4,0,0,125000,3,1890,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-02T22:33:42.304Z,7,10,0
s31lb,1746226422408386859,3.6,OPEN,FALSE,87,6.6,0,0,125000,4,1891,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-02T22:53:42.103Z,7,9.5,0
s31lb,1746227622177698349,3.6,OPEN,FALSE,86.7,6.7,0,0,125000,2,1892,0,eui-00007076ff031358,eui-00007076ff031372,0,0,0,0,-119,-101,2025-05-02T23:13:41.902Z,7,-6.8,7.8
s31lb,1746228821996868583,3.6,OPEN,FALSE,87.3,6.8,0,0,125000,3,1893,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-119,-99,2025-05-02T23:33:41.701Z,7,-5.5,8
