name,time,ADC1_V,BatV,Digital_IStatus,Door_status,EXTI_Trigger,Hum_SHT,TempC1,TempC_SHT,Work_mode,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rx_time1,sf,snr1
sn50v3_kropp,1751528555312963511,0,3.618,L,OPEN,FALSE,96.9,0,14.8,IIC,0,0,125000,4,182,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-116,2025-07-03T07:42:35.019Z,7,5.2
sn50v3_kropp,1751529755087892109,0,3.624,L,OPEN,FALSE,97.1,0,14.2,IIC,0,0,125000,1,183,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-118,2025-07-03T08:02:34.796Z,7,0.2
sn50v3_kropp,1751530954891026348,0,3.624,L,OPEN,FALSE,96.3,0,15.1,IIC,0,0,125000,2,184,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-03T08:22:34.574Z,7,-1.5
sn50v3_kropp,1751533354411278768,0,3.618,L,OPEN,FALSE,94.5,0,15.7,IIC,0,0,125000,1,186,0,eui-00007076ff030d23,unknown,0,0,0,0,-108,2025-07-03T09:02:34.126Z,7,-0.8
sn50v3_kropp,1751534554491050418,0,3.618,L,OPEN,FALSE,94.3,0,15.3,IIC,0,0,125000,6,187,0,eui-00007076ff030d23,unknown,0,0,0,0,-109,2025-07-03T09:22:33.902Z,7,6.8
sn50v3_kropp,1751535754023480014,0,3.618,L,OPEN,FALSE,93,0,16.3,IIC,0,0,125000,6,188,0,eui-00007076ff030d23,unknown,0,0,0,0,-107,2025-07-03T09:42:33.678Z,7,8
sn50v3_kropp,1751536953746900523,0,3.618,L,OPEN,FALSE,89.7,0,16.9,IIC,0,0,125000,3,189,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-116,2025-07-03T10:02:33.454Z,7,0.8
sn50v3_kropp,1751538153551665465,0,3.618,L,OPEN,FALSE,88.1,0,15.6,IIC,0,0,125000,5,190,0,eui-00007076ff030d23,unknown,0,0,0,0,-105,2025-07-03T10:22:33.230Z,7,8.5
sn50v3_kropp,1751539353312890539,0,3.618,L,OPEN,FALSE,79.3,0,18.1,IIC,0,0,125000,2,191,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-106,2025-07-03T10:42:33.007Z,7,7.5
sn50v3_kropp,1751540553119628533,0,3.618,L,OPEN,FALSE,80.8,0,16.8,IIC,0,0,125000,2,192,0,eui-00007076ff030d23,unknown,0,0,0,0,-114,2025-07-03T11:02:32.783Z,7,2.8
sn50v3_kropp,1751541752843030434,0,3.618,L,OPEN,FALSE,79.5,0,17.2,IIC,0,0,125000,0,193,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-03T11:22:32.560Z,7,1.2
